Direcciones,Latitud,Longitud,Nro Radicado
Calle 87 Sur Carrera 55 LA ESTRELLA,6.1501338,-75.6371597,9168
Carrera 48A Calle 99 Sur LA ESTRELLA,6.121111,-75.6314475,9169
Carrera 54 Calle 75B Sur LA ESTRELLA,6.1612844,-75.6364063,9170
Calle 75 Sur Carrera 54 LA ESTRELLA,6.1641233,-75.6363486,9171
Carrera 50 Calle 97 Sur LA ESTRELLA,6.1331391,-75.6337246,9172
Carrera 50 Calle 100 Sur LA ESTRELLA,6.1194097,-75.6344227,9173
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9174
Calle 77 Sur Carrera 55 LA ESTRELLA,6.1604047,-75.6372673,9175
Carrera 50 Calle 88A Sur LA ESTRELLA,6.1721663,-75.6089299,9176
Calle 83 Sur Carrera 59 LA ESTRELLA,6.1537962,-75.6383414,9177
Carrera 51 Calle 95AA Sur LA ESTRELLA,6.1361681,-75.6350609,9178
Carrera 55 Calle 95 Sur LA ESTRELLA,6.138199,-75.6393038,9179
Carrera 50 Calle 98 Sur LA ESTRELLA,6.1283022,-75.6327344,9180
Calle 74A Sur Carrera 57 LA ESTRELLA,6.1641892,-75.6415981,9184
Calle 81 Sur Carrera 66 LA ESTRELLA,6.158608,-75.656171,9187
Carrera 50 Calle 80 Sur LA ESTRELLA,6.1523941,-75.6336115,9190
Carrera 52 Calle 79 Sur LA ESTRELLA,6.1560819,-75.6306278,9191
Carrera 50 Calle 76 Sur LA ESTRELLA,6.1523898,-75.6335746,9192
Carrera 50 Calle 80 Sur LA ESTRELLA,6.1523941,-75.6336115,9193
Carrera 57 Calle 81 Sur LA ESTRELLA,6.1573955,-75.6438592,9194
Carrera 60 Calle 81 Sur LA ESTRELLA,6.1571556,-75.6431767,9195
Calle 75AB Sur Carrera 52D LA ESTRELLA,6.1604689,-75.6284003,9196
Calle 100 Sur Carrera 50 LA ESTRELLA,6.1194097,-75.6344227,9197
Calle 79 Sur Carrera 52A LA ESTRELLA,6.1563393,-75.6312873,9198
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9199
Carrera 62A Calle 75A Sur LA ESTRELLA,6.1629509,-75.6442164,9200
Carrera 55 Calle 79 Sur LA ESTRELLA,6.1569697,-75.6355586,9201
Calle 77 Sur Carrera 60 LA ESTRELLA,6.1599707,-75.6434592,9202
Carrera 50 Calle 99 Sur LA ESTRELLA,6.1226138,-75.634477,9203
Carrera 50 Calle 100 Sur LA ESTRELLA,6.1194097,-75.6344227,9296
Carrera 48 Calle 79C Sur LA ESTRELLA,6.154837,-75.635219,9297
Calle 100 Sur Carrera 49D LA ESTRELLA,6.1200518,-75.6337143,9298
Calle 79 Sur Carrera 50 LA ESTRELLA,6.1539353,-75.6289665,9313
Carrera 50 Calle 87 Sur LA ESTRELLA,6.1526853,-75.6520852,9314
Carrera 55 Calle 80 Sur LA ESTRELLA,6.1543856,-75.6363237,9315
Carrera 50 Calle 95 Sur LA ESTRELLA,6.1366177,-75.6342835,9316
Carrera 60 Calle 77 Sur LA ESTRELLA,6.1596519,-75.6427118,9317
Calle 80 Sur Carrera 52 LA ESTRELLA,6.1531833,-75.634519,9318
Carrera 50 Calle 91 Sur LA ESTRELLA,6.1441505,-75.6334228,9319
Carrera 50 Calle 100 Sur LA ESTRELLA,6.1194097,-75.6344227,9324
Carrera 54 Calle 75AA Sur LA ESTRELLA,6.1629835,-75.6354762,9325
Carrera 50 Calle 10 Sur LA ESTRELLA,6.1441505,-75.6334228,9333
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9334
